population,area,gdp,administrative_level,airport,train_station,climate_type,travel resort,city
298.64 万[45]（2023年末常住人口）,16804 km²,1478.86 亿元[53]（2024年）,自治州,兴义万峰林机场,兴义站、兴义威舍站,亚热带季风湿润气候,兴义马岭河峡谷、兴义万峰林、万峰湖、玉皇顶、贵州醇景区等[2],黔西南布依族苗族自治州
375.73 万[20]（2023年常住人口）,30282 km²[6],1432.38 亿元[118]（2024年）,自治州,凯里黄平机场，黎平机场[10],凯里站，施秉站，羊坪站，镇远站，从江站，三穗站，榕江站，凯里南站[10][99],亚热带湿润季风气候[6],施秉云台山景区[36]、云谷田园[44]、凯里市民族文化园[45]、下司古镇[47]、雷公山[48],黔东南苗族侗族自治州
348.96 万（2023年末常住人口）,26200 km²,1947.16 亿元[81]（2024年）,自治州,荔波机场,都匀东站、福泉站、贵定北站、贵定县站、三都县站、独山东站、荔波站等[51],亚热带湿润季风气候,斗篷山、樟江、阳宝山、四季花谷,黔南布依族苗族自治州
868.7 万（2024年常住人口）,21012.54 km²[148],8275.22 亿元（2024年）,地级市[180],昆明长水国际机场[26],昆明站、昆明南站等[23],亚热带高原山地季风气候[148],石林[184]、滇池[184]、翠湖[185]、金殿[184]、官渡古镇[184],昆明市
568.8 万[86]（2023年常住人口）,28900 km²,3677.22 亿元[111]（2024年）,地级市,宣威永安机场,曲靖站、曲靖北站,亚热带季风气候,九龙瀑布、罗平油菜花、陆良彩色沙林、珠江源等,曲靖市
226.6 万（2024年常住人口）,15000 km²,2582.05 亿元（2024年）,地级市,,玉溪站,中亚热带湿润冷冬高原季风气候,哀牢山，抚仙湖，寒武纪古生物化石群等,玉溪市
240.7 万[12-13]（2023年末常住人口）,19637 km²[17],1281.91 亿元[127]（2024年）,地级市[17],保山云瑞机场、腾冲驼峰机场[31],保山站、保山北站[104],亚热带季风气候[20],太保山[54]、高黎贡山[55]、火山热海[50]、和顺古镇[47]、青华海国家湿地公园[48],保山市
485.4 万[29]（2023年末常住人口）,23000 km²[28],2016.91 亿元[178]（2024年）,地级市[30],昭通机场[51],昭通站、盐津南站、昭通东站等[4][132],亚热带、暖温带共存的高原季风立体气候[28],昭通水富西部大峡谷景区、大龙洞景区等[12],昭通市
125 万[220]（2024年）,20600 km²,710.03 亿元[213]（2024年）,地级市[21],丽江三义国际机场、宁蒗泸沽湖机场[27],丽江站、拉市海站[89],半湿润低纬高原山地季风气候[30],玉龙雪山、丽江古城、老君山、泸沽湖等[22],丽江市
233.7 万[60]（2024年末常住人口）,约 45000 km²,1188.93 亿元[57]（2024年）,地级市,普洱思茅机场、澜沧景迈机场,普洱站、宁洱站、墨江站,亚热带季风气候,,普洱市
220.2 万[28]（2023年末常住人口）,23620.89 km²[11],1150.19 亿元[237]（2024年）,地级市[11],临沧博尚机场、沧源佤山机场[171],临沧站[34],低纬高原山地季风气候[12],澜沧江百里长湖[170]、鲁史古镇[33]、翁丁佤族古村落[114],临沧市
234.2 万（2023年末常住人口）,28438.41 km²,2018.95 亿元[35]（2024年）,自治州,,楚雄站,北亚热带季风气候区,元谋土林、元谋人遗址、楚雄禄丰恐龙博物馆,楚雄彝族自治州
436.3 万（2023年常住人口）,32931 km²,2985.49 亿元[47]（2024年）,自治州,红河蒙自机场（在建）、弥勒东风机场,红河站、蒙自北站、弥勒站、竹园站、朋普站、开远南站[15],亚热带季风气候,泸西阿庐古洞、建水孔庙、元阳哈尼梯田等,红河哈尼族彝族自治州
339.7 万（2023年末常住人口）,31456 km²,1549.11 亿元[36]（2024年）,自治州,文山普者黑机场,普者黑站、广南县站、富宁站,亚热带气候,砚山浴仙湖，盘龙公园，广南八宝景区，柳井溶洞群等,文山壮族苗族自治州
133.30 万[29]（截至2023年末常住人口）,19096 km²[34]（2024年8月）,901.80 亿元[109]（2024年）,自治州、地级行政区[34],西双版纳嘎洒国际机场[2],西双版纳站[8],北热带和南亚热带湿润季风气候[112],中国科学院西双版纳热带植物园[17]、西双版纳原始森林公园[18]、望天树景区[16],西双版纳傣族自治州
334.2 万（2023年末常住人口）,29459 km²,2010.9 亿元[78]（2024年）,自治州[1],大理荒草坝机场、丽江三义国际机场,大理站,低纬度高原季风气候,洱海、蝴蝶泉、苍山、天龙八部影视城、大理古城、崇圣寺三塔、南诏风情岛,大理白族自治州
133.70 万[44]（2023年常住人口）,11526 km²,620.12 亿元[49]（2024年）,自治州,德宏芒市国际机场、陇川广宋机场,芒市站、瑞丽站,南亚热带季风气候,勐巴娜西珍奇园、三仙洞,德宏傣族景颇族自治州
53.5 万（2023年底常住人口）,14703 km²,278.89 亿元[39]（2024年）,自治州,兰坪通用机场,,亚热带山地季风气候,怒江大峡谷、独龙江、贡山原始森林,怒江傈僳族自治州
39.5 万（2024年末常住人口）,23185.67 km²,307.01 亿元（2024年）,自治州,迪庆香格里拉机场,香格里拉站,温带和寒温带季风气候（河谷属北亚热带季风气候）,虎跳峡、白水台、普达措国家公园,迪庆藏族自治州
58.12 万[67]（2022年户籍人口）,29640 km²[55],990.04 亿元[75]（2024年）,地级市,拉萨贡嘎国际机场,拉萨站,高原山地气候,布达拉宫、罗布林卡、大昭寺、小昭寺、哲蚌寺、色拉寺、八廓街,拉萨市
79.95 万（2023年常住人口）,179240 km²[23],464.3 亿元[47]（2024年）,地级市,日喀则和平机场、日喀则定日机场、亚东机场,日喀则站,高原山地气候,珠穆朗玛峰、扎什伦布寺、桑珠孜宗堡、白居寺、萨迦寺,日喀则市
759312 人（2022年总人口）,109830 km²[13],386.01 亿元[49]（2024年）,地级市,昌都邦达机场,昌都站,温带季风气候,卡若遗址、强巴林寺等文化遗址,昌都市
23.89 万（2023年）,114870 km²,235.66 亿元（2023年）,地级市,林芝米林机场,林芝站,海洋性季风气候[12],太昭古城、拉多藏湖、古秀寺、苯日神山、雅鲁藏布大峡谷、南迦巴瓦峰、巴松措,林芝市
35.37万 人[84]（截至2023年末）,79090 km²,273.01 亿元[67]（截至2023年）,地级市,拉萨贡嘎国际机场、山南隆子机场,山南站,高原温带半干旱季风气候,桑耶寺、雍布拉康、羊卓雍湖、雅砻风景名胜区,山南市
50.48 万（截至2020年11月）,353000 km²[15],193.2 亿元[16]（2022年）,地级市,（在建）,那曲站,高原山地气候,唐古拉山口、色林错、当惹雍错,那曲市
12.3 万（截至2022年末）,337170 km²[11],68.6 亿元（2020年）,地区,阿里昆莎机场、阿里普兰机场,,高原山地气候,冈仁波齐、古格王国遗址、托林寺、札达土林,阿里地区
1316.76 万[245]（2024年末常住人口）,10108 km²[219],13317.78 亿元[240]（2024年）,地级市[49],西安咸阳国际机场[98],西安站、西安北站、西安东站、引镇站、西安西站、临潼站、阎良站、鄠邑站、户县站等[94],暖温带半湿润大陆性季风气候[20],秦始皇兵马俑博物馆[142]、华清宫[142]、西安大雁塔[142]、小雁塔[142]、西安秦岭野生动物园[142]、大明宫国家遗址[142],西安市
70.5 万[41],3882 km²,588.82 亿元[62]（2024年）,地级市,,铜川站、铜川北站、铜川东站、宜君站,温带大陆性季风气候,大香山寺、药王山、照金香山、唐玉华宫遗址,铜川市
325.74 万（2023年）,18117 km²,2743.10 亿元（2022年）,地级市,宝鸡凤翔机场,宝鸡站、宝鸡南站、宝鸡东站、虢镇站等,暖温带季风性气候,法门寺、太白山国家森林公园、关山草原、红河谷、炎帝陵、九成宫、青铜器博物馆、千湖国家湿地公园、龙门洞、青峰峡、通天河森林公园、大散关、黄柏塬、嘉陵江源头、钓鱼台,宝鸡市
408.06 万[252]（2024年末常住人口）,10191.5 km²[1],3001.27 亿元[249]（2024年）,地级市[18],西安咸阳国际机场[22],咸阳站、咸阳西站、咸阳北站等[23],大陆性季风气候[2],乾陵博物馆、马栏革命旧址、大佛寺石窟博物馆[21]、咸阳博物院、咸阳古渡遗址博物馆,咸阳市
460.4 万[45]（2023年常住人口）,13030.56 km²,2157.73 亿元[47]（2024年）,地级市,渭南华山机场、蒲城内府通用机场,渭南站、渭南北站、渭南西站、华州站等[43],温带季风气候,西岳华山、蒲城桥陵、合阳洽川、富平陶艺村、韩城党家村等,渭南市
224.79 万（2024年末常住人口）,37000 km²（3.7万平方公里）,2383.36 亿元（2024年）,地级市,延安南泥湾机场,延安站、延安东站、延安北站、延安南站,高原大陆性季风气候,延安革命纪念馆、清凉山景区、乾坤湾、甘泉雨岔大峡谷、黄河壶口瀑布旅游区（陕西侧）、黄帝陵,延安市
378.98 万[4]（2022年末户籍总人口）,27097 km²[3],934.94 亿元[146]（2023年上半）,地级市[141],汉中城固机场[103],汉中站、城固站、勉县站、宁强南站、略阳站等[157-158],北亚热带气候[142],午子山景区[3]、华阳景区[3]、黎坪景区[3]、石门栈道景区[3]、龙头山景区[3]、武侯墓[3],汉中市
360.73 万（2023年末全市常住人口）,42920.2 km²,7548.68 亿元[114]（2024年）,地级市,榆林榆阳机场、靖边海则滩机场等,榆林站、神木站、绥德站、米脂站等,暖温带至中温带半干旱大陆性季风气候[95],石峁遗址、统万城遗址、长城、黄河等,榆林市
245.72 万[122]（2023年末常住人口）,23529 km²[6],1268.65 亿元[4]（2022年）,地级市,安康富强机场[7],安康站、安康西站等[81-82],亚热带大陆性季风气候[1],瀛湖风景区、中坝大峡谷、南宫山等16家4A级景区[51],安康市
201.25 万[105]（2023年常住人口）,19292 km²[15],902.56 亿元[7]（2022年）,地级市[79],丹凤通用机场[40],商洛站、镇安站、丹凤站、商南站、柞水站、砚川站、商洛北站[41],北部气候属暖温带，南部气候属亚热带[17],,商洛市
443.65 万[244]（2024年末常住人口）,13085.6 km²,3742.3 亿元[244]（2024年）,地级市[187],兰州中川国际机场[164],兰州西站、兰州站、兰州北站、兰州东站、兰州新区站、中川机场站、皋兰站、西固站、秦王川站等[173],温带半干旱气候[36],黄河铁桥[31]、白塔山[31]、兰州水墨丹霞旅游景区[112]、兴隆山[117]、五泉山[31]、青城古镇[31]、金天观[31],兰州市
31.51 万（2024年末常住人口）,1224 km²,370.7 亿元（2024年）,地级市,嘉峪关酒泉机场,嘉峪关站、嘉峪关南站,温带大陆性（荒漠）气候,嘉峪关东湖，七一冰川，西部明珠气象塔，讨赖河生态湿地等,嘉峪关市
43.44 万（2022年常住人口）,9600 km²,620.06 亿元[52]（2024年）,地级市,金昌金川机场,金昌南站、金昌站、朱王堡站[59],温带大陆性气候,骊靬古城、巴丹吉林沙漠,金昌市
148.01 万（2024年末常住人口）,20100 km²,742.87 亿元（2024年）,地级市,白银通用机场,白银西站、白银市站、白银南站,温带大陆性气候,黄河石林，红军会宁会师旧址,白银市
289.18 万[103]（2024年末常住人口）,14300 km²[1],952.25 亿元[103]（2024年）,地级市,天水麦积山机场、天水中梁机场（建设中）[41],天水站、天水南站,大陆性暖温带半湿润气候[46],麦积山石窟[1]、伏羲庙[1]、南郭寺[1]、大地湾遗址[12]、水帘洞[1]、天水古城[12]、玉泉观[1],天水市
142.73 万[105]（2024年末常住人口）,32351.69 km²,750.02 亿元[116]（2024年）,地级市,航校军用机场、武威天马机场（在建）、民勤通用机场（在建）,武威站、武威南站、武威东站等,温带大陆性气候,白塔寺、天梯山石窟、雷台汉墓、武威文庙、天堂寺,武威市
109.99 万[118][162]（2024年末常住人口）,38600 km²[1],680.88 亿元[160]（2024年）,地级市[24],张掖甘州机场、张掖丹霞通用机场[5][21],张掖站、张掖西站、临泽站等[72][92-93],温带大陆性气候[25],七彩丹霞景区[30]、张掖大佛寺[31]、张掖国家湿地公园[35],张掖市
177.27 万（2024年末常住人口）,11000 km²,722.77 亿元（2024年）,地级市,平凉崆峒山机场,平凉站，平凉南站,半干旱、半湿润的大陆性气候,崆峒山、王母宫、龙泉寺、古灵台,平凉市
104.09万 人[181]（2024年常住人口）,192000 km²[12],1041.7 亿元[180]（2024年）,地级市,嘉峪关酒泉机场（两市共建）、敦煌莫高国际机场[136][138],酒泉站、酒泉南站、敦煌站等[72],冷温带干旱气候[32],莫高窟[65]、敦煌雅丹国家地质公园[65]、鸣沙山月牙泉景区[65],酒泉市
212.54 万（2024年末常住人口）,27119 km²,1213.22 亿元（2024年）,地级市,庆阳机场,长庆桥站、宁县南站、庆阳站等,温带季风气候,周祖遗陵、北石窟寺、夏家沟森林公园,庆阳市
247.4 万[96]（2024年末常住人口）,19600 km²,600.1 亿元[49]（2023年）,地级市,正在谋划实施,定西北站、陇西站、定西站、通渭站,大陆性季风气候,秦长城、仁寿山、李家龙宫遗址、贵清山森林公园、灞陵桥公园,定西市
232.96 万[174]（2024年末常住人口）,27923 km²[16],666.7 亿元[174]（2024年）,地级市[20],陇南成县机场[20],陇南站、哈达铺站、徽县站、两当站等[20][101],亚热带大陆性季风气候[38],官鹅沟[49]、万象洞[20]、晚霞湖[102],陇南市
209.93 万[33]（2024年末常住人口）,8169 km²,506.0 亿元[32]（2024年）,自治州,项目是列入《,,大部分属温带半干旱气候,和政太子山、黄河三峡姊妹峰等,临夏回族自治州
66.54 万[32-33]（ 2024年末常住人口）,38521 km²,256.33 亿元[46]（2024年）,自治州,甘南夏河机场,,高原性气候,,甘南藏族自治州
247.69 万[97]（2024年末常住人口）,7660 km²,1862.1 亿元[95]（2024年）,地级市,西宁曹家堡国际机场,西宁站、西宁西站,高原大陆性气候,青唐城遗址、塔尔寺、南禅寺,西宁市
132.86 万[37]（2024年末常住人口）,13200 km²,605.46 亿元[37]（2024年）,地级市,西宁曹家堡国际机场,海东站、海东西站、乐都站、平安驿站,高原大陆性气候,互助北山国家森林公园、孟达天池、峡群寺,海东市
26.1 万[36]（2024年末常住人口）,34068.44 km²,115.87 亿元[36]（2024年）,自治州,,,高原大陆性气候[5],青海湖、鸟岛，沙岛、祁连山等[39],海北藏族自治州
28.22 万（2024年末常住人口）,18200 km²,110.89 亿元（2022年）,自治州[2],黄南机场,,高原大陆性气候,坎布拉国家地质公园、李家峡水库、国家级唐卡风景区,黄南藏族自治州
45.11 万[30]（2024年末常住人口）,44500 km²,234.65 亿元[29]（2024年）,自治州[1],共和青海湖机场,,高原大陆性气候,青海湖、龙羊峽水库、贵德古城,海南藏族自治州
22.28 万（2024年末常住人口）,76442 km²[20],671966.74 万元（2023年）,自治州[1],果洛玛沁机场、久治机场,,高原大陆性气候,年保玉则景区、阿尼玛卿雪山,果洛藏族自治州
43.43 万（截至2024年末常住人口）,267000 km²,79.13 亿元（2023年）,自治州[1],玉树巴塘机场,玉树站,大陆性高原气候,文成公主庙、隆宝滩自然保护区、勒巴沟,玉树藏族自治州
47.31 万（2024年末常住人口）,325800 km²,847.88 亿元[63]（2024年）,自治州,德令哈机场、格尔木机场、花土沟机场,德令哈站、格尔木站、茫崖站[33],高原大陆性气候,长江源、昆仑山、天峻山、大柴旦温泉等,海西蒙古族藏族自治州
291.47 万[138]（2024年末常住人口）,9025.38 km²[2],2939.53 亿元[138]（2024年）,地级市[2],银川河东国际机场[37],银川站、银川东站[99-100],中温带大陆性气候[53],西夏风情园[85]、水洞沟[87]、西夏王陵[82],银川市
73.94 万（2024年常住人口）,5310 km²,565.53 亿元（2024年）,地级市,100千米,石嘴山站、石嘴山南站、惠农站,温带大陆性气候,沙湖、中华奇石山、北武当庙,石嘴山市
140.27 万[39]（2023年末常住人口）,21400 km²,933.7 亿元[52]（2024年）,地级市,银川河东国际机场,吴忠站、青铜峡站,温带大陆性气候,青铜峡黄河大峡谷、黄河坛、黄河楼、董府、牛家坊民俗文化旅游区、宁夏移民博物馆、盐池哈巴湖旅游区、盐州古城历史文化旅游区、盐池革命历史纪念园、同心红军西征纪念园,吴忠市
114.77 万[89]（2023年末常住人口）,10500 km²,463.73 亿元[117]（2024年）,地级市,固原六盘山机场,固原站,温带大陆性气候,须弥山、火石寨地质公园等,固原市
108.06 万（2023年常住人口）,17391.3 km²,600.25 亿元[87]（2024年）,地级市,中卫沙坡头机场,中卫站、中卫南站、中宁站,温带大陆性季风气候,宁夏沙坡头国家级自然保护区、金沙岛、中卫高庙、寺口子、通湖草原,中卫市
412.84 万[219]（2024年末常住人口）,13800 km²[90],4502.16 亿元[214]（2024年）,地级市[49],乌鲁木齐天山国际机场[54],乌鲁木齐站、乌鲁木齐南站、乌东站、乌西站、乌北站[10],中温带大陆干旱气候[71],天山大峡谷景区[120]、丝绸之路国际度假区[120]、新疆国际大巴扎[120]、新疆天山野生动物园[120],乌鲁木齐市
48.9 万[21]（2023年末常住人口）,约 7333.58 km²[22],1327.0 亿元[99]（2024年）,地级市,克拉玛依古海机场[14],克拉玛依站[56],温带大陆性气候[60],黑油山[39]、世界魔鬼城[38]、独山子大峡谷[40],克拉玛依市
69.82 万（2024年末常住人口）,69713 km²,640.42 亿元（2024年）,地级市,吐鲁番交河机场,吐鲁番站、吐鲁番北站,温带大陆性气候,高昌故城、交河故城、火焰山、葡萄沟等,吐鲁番市
68 万[34]（2023年常住人口）,142100 km²,1084.39 亿元[33]（2024年）,地级市,哈密伊州机场、巴里坤大河机场,哈密站,温带大陆性干旱气候,大海道、巴里坤草原、伊吾胡杨林,哈密市
1613585,73500 km²,2509.23 亿元[40]（2024年）,自治州,准东奇台机场,昌吉站,温带大陆性气候,硫磺沟矿气泉、杜氏景区、晋昌公园、昌吉古城等,昌吉回族自治州
488198人（第七次人口普查）,27200 km²,540.23 亿元[29]（2024年）,自治州,博乐阿拉山口机场,博尔塔拉站、博乐站、阿拉山口站、精河站,温带大陆性气候,赛里木湖，艾比湖，哈日图热格风景区等,博尔塔拉蒙古自治州
149.98 万（2023年常住人口）,471500 km²[20],1692.45 亿元[34]（2024年）,自治州,库尔勒机场、若羌楼兰机场、且末玉都机场、轮台塔中机场、和静巴音布鲁克机场,库尔勒站、若羌站、和硕站、焉耆站,温带大陆性气候,巴音布鲁克草原、博斯腾湖、楼兰古城、罗布泊等,巴音郭楞蒙古自治州
271.44 万[20],132500 km²,1953.98 亿元[32]（2024年）,地区,阿克苏红旗坡机场、库车龟兹机场,阿克苏站,温带大陆性气候,温宿天山托木尔峰、塔里木河、塔克拉玛干大沙漠、库车大寺,阿克苏地区
63.21 万[28]（2022年）,72500 km²,256.66 亿元[36]（2024年）,自治州,,阿图什站,温带大陆性气候,玉其塔什草原风景区、阿克陶五彩山景区等,克孜勒苏柯尔克孜自治州
450.69 万[29],162000 km²,1626.88 亿元[38]（2024年）,地区,喀什徕宁国际机场、莎车叶尔羌机场、塔什库尔干帕米尔机场,喀什站、莎车站、巴楚站、叶城站、英吉沙站、泽普站、疏勒站,温带大陆性气候,帕米尔高原，香妃墓，喀什大巴扎，艾提尕尔清真寺，石头城,喀什地区
2504718 人（2020年11月1日零时常住人口）,248100 km²,525.91 亿元（2023年）,地区,和田昆冈机场、于田万方机场,和田站、于田站、墨玉站、皮山站、洛浦站、策勒站、民丰站,温带大陆性气候,昆仑湖公园、丝绸之路南道、和田市街心公园、金和游乐园等,和田地区
284.84 万[9]（2024年1月）,267353 km²[11]（全州）,3270.38 亿元[173]（2024年）,自治州（副省级）[9-10],伊宁机场、新源那拉提机场、昭苏天马机场[20-22],伊宁站、霍尔果斯站、伊宁东站等[23],寒温带半干旱的大陆性气候[168],那拉提景区、喀拉峻景区、[16-17]、伊犁河风景区、天山花海景区等[18-19],伊犁哈萨克自治州
109.65 万（2023年末常住人口）,105400 km²,998.72 亿元[23]（2024年）,地区,塔城机场,塔城站,温带大陆性气候,巴尔鲁克山景区、乌苏佛山景区,塔城地区
668587 人（截至2024年2月）,118000 km²,464.98 亿元[44]（2024年）,地区,阿勒泰雪都机场、布尔津喀纳斯机场富蕴可可托海机场,阿勒泰站[36],温带大陆性气候,阿尔泰山、萨吾尔山、喀纳斯湖,阿勒泰地区
